index,label
0,tile-glue_strip
1,grid-thread
2,transistor-good
3,tile-glue_strip
4,tile-good
5,pill-crack
6,capsule-crack
7,hazelnut-cut
8,leather-good
9,leather-good
10,bottle-broken_large
11,wood-good
12,zipper-rough
13,screw-thread_top
14,tile-glue_strip
15,bottle-contamination
16,grid-broken
17,carpet-cut
18,carpet-good
19,pill-good
20,tile-rough
21,zipper-good
22,bottle-broken_large
23,screw-scratch_head
24,pill-contamination
25,screw-scratch_head
26,pill-crack
27,screw-scratch_head
28,leather-good
29,wood-color
30,screw-scratch_head
31,cable-poke_insulation
32,screw-scratch_head
33,zipper-fabric_interior
34,zipper-fabric_interior
35,zipper-rough
36,leather-good
37,cable-good
38,leather-color
39,metal_nut-flip
40,metal_nut-good
41,cable-good
42,screw-thread_side
43,capsule-good
44,metal_nut-flip
45,tile-glue_strip
46,toothbrush-good
47,capsule-crack
48,zipper-fabric_interior
49,screw-scratch_head
50,cable-good
51,transistor-good
52,hazelnut-hole
53,hazelnut-print
54,zipper-fabric_interior
55,metal_nut-scratch
56,carpet-cut
57,carpet-color
58,leather-glue
59,capsule-good
60,transistor-good
61,pill-faulty_imprint
62,capsule-squeeze
63,zipper-fabric_interior
64,capsule-crack
65,leather-color
66,transistor-good
67,capsule-crack
68,pill-pill_type
69,metal_nut-bent
70,grid-metal_contamination
71,wood-liquid
72,hazelnut-crack
73,tile-good
74,leather-poke
75,zipper-good
76,cable-good
77,leather-good
78,cable-poke_insulation
79,cable-good
80,pill-good
81,wood-good
82,screw-scratch_head
83,wood-combined
84,transistor-good
85,bottle-broken_small
86,zipper-good
87,carpet-color
88,leather-color
89,zipper-fabric_interior
90,leather-glue
91,zipper-rough
92,cable-good
93,metal_nut-bent
94,screw-scratch_head
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-good
102,pill-good
103,capsule-crack
104,wood-good
105,bottle-contamination
106,zipper-fabric_interior
107,pill-good
108,transistor-good
109,hazelnut-good
110,leather-color
111,screw-scratch_neck
112,transistor-good
113,transistor-good
114,zipper-fabric_interior
115,capsule-good
116,grid-good
117,pill-contamination
118,capsule-crack
119,leather-glue
120,screw-good
121,carpet-color
122,metal_nut-color
123,transistor-good
124,wood-hole
125,transistor-good
126,tile-crack
127,transistor-cut_lead
128,pill-contamination
129,screw-scratch_head
130,grid-good
131,metal_nut-color
132,pill-crack
133,metal_nut-bent
134,capsule-good
135,grid-thread
136,screw-scratch_head
137,bottle-contamination
138,pill-good
139,wood-liquid
140,transistor-good
141,hazelnut-good
142,cable-cut_inner_insulation
143,cable-good
144,zipper-fabric_interior
145,hazelnut-print
146,carpet-metal_contamination
147,zipper-good
148,zipper-rough
149,wood-good
150,zipper-good
151,wood-scratch
152,transistor-good
153,pill-good
154,zipper-good
155,tile-glue_strip
156,toothbrush-good
157,tile-good
158,hazelnut-good
159,metal_nut-bent
160,screw-scratch_head
161,screw-scratch_neck
162,screw-scratch_head
163,cable-missing_wire
164,carpet-color
165,leather-fold
166,pill-good
